S2_Temp,S2_Light,S2_Sound,S5_CO2_Slope,S7_PIR,Room_Occupancy_Count
27.38,244,0.21,1.1,0,2
27.44,244,0.05,1.065384615,0,2
27.38,244,0.05,1,0,2
27.44,245,0.15,0.953846154,0,2
27.56,244,0.28,0.923076923,0,2
27.5,244,0.42,0.957692308,0,2
27.56,244,0.56,1.011538462,0,2
27.5,243,0.53,1.130769231,1,2
27.56,244,0.77,1.315384615,1,2
27.63,244,0.8,1.419230769,0,2
27.63,244,0.57,1.538461538,0,2
27.81,244,0.64,1.626923077,1,2
28,241,1.01,1.738461538,1,2
28.19,240,0.79,1.830769231,0,2
28.13,244,0.79,1.9,1,2
28.06,243,0.42,2.042307692,0,2
27.88,240,0.66,2.019230769,1,2
27.81,241,0.4,2.065384615,1,2
27.75,239,0.66,2.030769231,1,2
27.94,242,0.7,1.961538462,1,2
28,243,0.69,1.811538462,1,2
28.19,243,0.55,1.676923077,0,2
28.13,244,0.27,1.557692308,0,2
28.13,244,0.12,1.407692308,0,2
28.19,243,0.17,1.226923077,0,2
28.19,242,0.4,1.111538462,0,2
28.13,242,0.06,1.111538462,0,2
28,244,0.26,1.080769231,0,2
28.13,244,0.37,1.019230769,0,2
28.13,244,0.37,1.026923077,0,2
28.31,243,0.7,0.915384615,0,2
28.31,244,0.41,0.834615385,0,2
28.38,244,0.63,0.834615385,0,2
28.5,244,0.23,0.869230769,0,2
28.5,244,0.17,0.846153846,0,2
28.5,243,0.05,0.861538462,0,2
28.44,242,0.07,0.819230769,0,2
28.38,242,0.1,0.765384615,0,2
28.25,242,0.11,0.696153846,0,2
28.44,244,0.13,0.615384615,0,2
28.38,243,0.21,0.526923077,0,2
28.38,242,0.15,0.426923077,0,2
28.44,244,0.49,0.411538462,1,3
28.56,245,0.29,0.434615385,1,3
28.56,246,0.23,0.4,1,3
28.63,246,0.5,0.4,1,3
28.56,244,0.36,0.430769231,1,3
28.44,247,0.82,0.492307692,1,3
28.31,244,0.35,0.534615385,1,3
28.5,244,0.49,0.511538462,1,3
28.69,245,0.57,0.569230769,1,2
28.69,245,0.74,0.707692308,0,2
28.63,244,0.4,0.880769231,1,2
28.81,244,0.46,1.038461538,1,3
28.75,244,0.92,1.319230769,1,3
28.88,244,0.84,1.430769231,1,3
28.81,244,0.79,1.515384615,1,3
28.81,243,0.62,1.623076923,1,3
28.94,243,3.44,1.707692308,1,3
28.94,243,0.91,1.811538462,1,3
28.94,243,0.56,1.976923077,1,3
29,243,3.34,2.057692308,1,3
28.94,244,0.65,2.196153846,1,3
28.94,244,0.54,2.296153846,1,3
29,243,0.63,2.353846154,0,3
28.94,246,0.53,2.319230769,1,3
28.81,247,0.37,2.292307692,1,3
28.19,249,0.52,3.288461538,1,3
28.13,249,0.83,4.207692308,1,3
28.13,249,0.29,4.953846154,1,3
28.06,249,0.31,5.719230769,1,3
28.13,248,3.4,6.361538462,1,3
28.25,247,0.26,6.930769231,1,3
28.25,247,0.3,7.380769231,1,3
28.38,248,1.35,7.707692308,1,3
28.19,247,0.81,8.096153846,0,3
28.19,247,2.98,8.446153846,1,3
28.25,249,2.02,8.661538462,1,3
28.38,249,0.42,8.838461538,1,3
28.25,249,0.22,8.980769231,1,3
28.19,249,0.35,8.946153846,1,3
28.13,246,2.11,8.780769231,0,3
28.25,249,2.22,8.438461538,1,3
28,250,0.54,7.969230769,1,3
28,252,0.28,7.519230769,0,3
27.94,251,0.29,7.042307692,1,3
28,252,0.65,6.488461538,1,3
28,252,0.45,5.811538462,1,3
27.94,247,0.9,5.015384615,1,3
27.81,249,1.08,4.103846154,1,3
27.81,248,0.82,3.030769231,1,3
27.75,251,0.69,1.888461538,1,3
27.81,251,0.62,1.823076923,1,3
27.75,252,0.84,1.723076923,1,3
27.75,252,2.33,1.634615385,1,3
27.88,253,0.21,1.511538462,1,3
27.81,253,0.23,1.403846154,1,3
27.81,254,0.14,1.261538462,1,3
27.88,253,0.17,1.084615385,1,3
27.88,254,0.34,0.923076923,1,3
27.88,253,0.14,0.880769231,1,3
27.94,252,0.45,0.915384615,0,3
27.81,252,0.06,0.930769231,0,3
27.81,252,0.1,0.976923077,0,3
27.75,252,0.06,1.1,0,3
27.69,252,0.13,1.246153846,0,3
27.75,251,0.05,1.319230769,1,3
27.75,247,2.61,1.365384615,1,3
27.63,253,0.75,1.426923077,1,2
27.63,253,0.47,1.503846154,1,2
27.63,254,0.4,1.507692308,1,2
27.56,254,0.37,1.496153846,1,2
27.56,254,0.5,1.469230769,1,2
27.5,254,0.43,1.376923077,1,2
27.5,254,0.44,1.219230769,1,2
27.38,254,3.44,1.042307692,1,2
27.44,254,0.11,0.85,0,2
27.5,254,0.59,0.742307692,1,2
27.44,254,0.51,0.623076923,1,2
27.38,254,0.39,0.496153846,1,2
27.38,255,0.3,0.269230769,1,2
27.38,254,0.68,-0.096153846,1,2
27.31,254,0.4,-0.4,1,2
27.31,254,0.38,-0.646153846,1,2
27.25,254,0.63,-0.792307692,1,2
27.31,247,0.79,-0.892307692,1,3
27.19,256,0.88,-0.9,1,3
27.19,254,1.45,-0.911538462,1,3
27.25,254,1.43,-0.788461538,1,3
27.25,257,1.66,-0.534615385,1,2
27.31,258,0.22,-0.196153846,1,2
27.38,256,0.43,0.080769231,1,3
27.38,255,0.39,0.346153846,1,3
27.38,256,1.6,0.653846154,1,3
27.31,254,1.21,0.865384615,1,3
27.31,254,0.75,0.980769231,1,3
27.25,254,0.21,1.042307692,1,3
27.25,254,0.16,1.1,1,3
27.13,255,0.07,1.107692308,1,3
27.06,255,0.07,1.111538462,0,3
27.06,255,0.12,1.157692308,0,3
27,255,0.15,1.146153846,1,3
27.06,255,0.1,1.265384615,1,3
26.94,255,0.18,1.461538462,1,3
27.13,254,0.12,1.630769231,1,3
27.13,254,0.1,1.765384615,1,3
27.06,254,0.26,1.661538462,1,3
27,254,0.27,1.553846154,1,3
27,254,0.28,1.446153846,1,3
27.06,254,1.4,1.392307692,1,3
27.13,256,0.14,1.35,1,3
27.06,255,0.33,1.323076923,1,3
27.19,254,0.06,1.265384615,0,3
27.19,254,0.11,1.373076923,1,3
27.19,256,0.23,1.461538462,1,3
27.13,257,0.32,1.630769231,0,3
27.13,256,0.22,1.830769231,1,3
27.25,255,0.23,2.007692308,1,3
27.19,256,0.76,2.157692308,1,3
27.19,255,0.5,2.226923077,0,3
27.19,255,0.19,2.303846154,0,3
27.19,255,0.1,2.338461538,0,3
27.06,256,0.09,2.280769231,0,3
27.19,256,0.09,2.176923077,0,3
27.19,256,0.12,2.026923077,0,3
27.19,256,0.1,1.880769231,0,3
27.19,256,0.05,1.692307692,0,3
27.06,256,0.07,1.515384615,0,3
27.06,257,0.12,1.361538462,0,3
27.06,257,0.15,1.238461538,0,3
27.13,257,0.07,1.196153846,0,3
27.13,256,0.07,1.230769231,1,3
27.06,256,0.07,1.242307692,1,3
27.13,255,0.1,1.276923077,1,3
27.19,255,0.12,1.284615385,0,3
27.13,255,0.1,1.357692308,0,3
27.06,255,0.09,1.442307692,0,3
27.19,255,0.43,1.534615385,1,3
27.31,255,0.36,1.588461538,1,3
27.25,254,0.36,1.603846154,1,3
27.19,254,0.41,1.673076923,1,3
27.25,254,0.59,1.703846154,1,3
27.25,252,0.35,1.796153846,1,3
27.19,254,0.13,1.9,1,3
27.25,252,0.08,1.969230769,0,3
27.25,253,0.08,2.011538462,0,3
27.19,251,0.51,1.984615385,0,3
27.25,251,0.14,1.892307692,0,3
27.31,251,0.14,1.830769231,1,3
27.31,251,0.31,1.796153846,1,3
27.31,253,0.16,1.738461538,1,3
27.31,253,0.13,1.657692308,1,3
27.25,252,0.79,1.503846154,1,3
27.38,249,1.62,1.226923077,1,3
27.31,251,0.94,0.876923077,1,3
27.25,249,0.29,0.507692308,0,3
27.31,247,1.02,0.223076923,1,3
27.25,22,3.03,-0.069230769,1,0
27.06,22,2.08,-0.226923077,1,0
26.94,22,0.18,-0.303846154,1,0
26.88,22,0.11,-0.346153846,0,0
26.88,24,0.05,-0.3,0,0
26.81,23,0.05,-0.211538462,0,0
26.81,23,0.05,-0.176923077,0,0
26.81,23,0.05,-0.1,0,0
26.75,22,0.05,0.023076923,0,0
26.75,22,0.05,0.05,0,0
26.69,22,0.05,0.173076923,0,0
26.63,22,0.05,0.3,0,0
26.63,22,0.05,0.338461538,0,0
26.56,22,0.05,0.380769231,0,0
26.56,22,0.09,0.373076923,0,0
26.56,23,0.08,0.311538462,0,0
26.56,23,0.05,0.384615385,0,0
26.56,23,0.05,0.496153846,0,0
26.56,23,0.05,0.6,0,0
26.56,23,0.04,0.65,0,0
26.5,22,0.07,0.65,0,0
26.5,22,0.05,0.553846154,0,0
26.5,23,0.1,0.407692308,0,0
26.44,23,0.05,0.161538462,0,0
26.44,23,0.05,-0.180769231,0,0
26.44,22,0.14,-0.519230769,0,0
26.44,22,0.41,-0.707692308,1,0
26.44,22,0.11,-0.788461538,0,0
26.5,22,0.05,-0.996153846,0,0
26.44,22,0.05,-1.226923077,0,0
26.44,22,0.05,-1.519230769,0,0
26.38,22,0.05,-1.865384615,0,0
26.38,22,0.05,-2.257692308,0,0
26.38,23,0.04,-2.688461538,0,0
26.38,23,0.11,-3.2,0,0
26.38,23,0.11,-3.688461538,0,0
26.38,23,0.1,-4.196153846,0,0
26.38,23,0.07,-4.769230769,0,0
26.31,22,0.05,-5.257692308,0,0
26.31,22,0.05,-5.703846154,0,0
26.31,22,0.12,-6.011538462,0,0
26.31,21,0.05,-6.176923077,0,0
26.31,21,0.05,-6.288461538,0,0
26.25,21,0.05,-6.296153846,0,0
26.25,20,0.05,-6.296153846,0,0
26.25,20,0.05,-6.242307692,0,0
26.25,22,0.05,-6.138461538,0,0
26.25,21,0.05,-5.938461538,0,0
26.25,21,0.05,-5.738461538,0,0
26.19,21,0.05,-5.542307692,0,0
26.19,21,0.05,-5.257692308,0,0
26.25,21,0.05,-4.834615385,0,0
26.19,21,0.04,-4.319230769,0,0
26.13,21,0.07,-3.903846154,0,0
26.19,21,0.05,-3.496153846,0,0
26.19,21,0.05,-3.15,0,0
26.19,21,0.05,-2.823076923,0,0
26.19,21,0.05,-2.523076923,0,0
26.13,21,0.07,-2.35,0,0
26.19,21,0.05,-2.211538462,0,0
26.19,21,0.05,-2.161538462,0,0
26.13,21,0.06,-2.153846154,0,0
26.13,21,0.08,-2.284615385,0,0
26.13,21,0.07,-2.503846154,0,0
26.13,21,0.05,-2.761538462,0,0
26.13,21,0.05,-2.911538462,0,0
26.13,21,0.05,-3.096153846,0,0
26.13,20,0.04,-3.315384615,0,0
26.13,20,0.05,-3.473076923,0,0
26.13,20,0.05,-3.665384615,0,0
26.13,20,0.05,-3.842307692,0,0
26.13,20,0.05,-3.907692308,0,0
26.13,20,0.05,-3.957692308,0,0
26.06,20,0.05,-3.992307692,0,0
26.13,20,0.05,-3.919230769,0,0
26.06,20,0.05,-3.788461538,0,0
26.06,20,0.05,-3.646153846,0,0
26.06,20,0.05,-3.396153846,0,0
26.06,20,0.05,-3.234615385,0,0
26.06,20,0.05,-3.111538462,0,0
26.06,19,0.05,-3.069230769,0,0
26.06,19,0.05,-2.961538462,0,0
26.06,18,0.06,-2.880769231,0,0
26.06,18,0.05,-2.873076923,0,0
26.06,18,0.06,-2.842307692,0,0
26.06,18,0.04,-2.742307692,0,0
26.06,17,0.06,-2.626923077,0,0
26,18,0.05,-2.55,0,0
26,19,0.05,-2.519230769,0,0
26,19,0.05,-2.492307692,0,0
26,19,0.06,-2.515384615,0,0
26,19,0.05,-2.538461538,0,0
26,19,0.05,-2.565384615,0,0
26,19,0.05,-2.55,0,0
26,19,0.05,-2.634615385,0,0
26,19,0.06,-2.769230769,0,0
26,18,0.05,-2.807692308,0,0
26,19,0.05,-2.8,0,0
25.94,19,0.05,-2.796153846,0,0
25.94,20,0.05,-2.742307692,0,0
25.94,19,0.05,-2.680769231,0,0
25.94,19,0.05,-2.565384615,0,0
25.94,18,0.05,-2.303846154,0,0
25.94,17,0.06,-2.088461538,0,0
25.94,17,0.1,-1.923076923,0,0
25.94,17,0.06,-1.861538462,0,0
25.94,17,0.05,-1.807692308,0,0
25.94,16,0.1,-1.765384615,0,0
25.94,17,0.05,-1.788461538,0,0
25.94,17,0.07,-1.830769231,0,0
25.94,16,0.05,-1.796153846,0,0
25.88,17,0.04,-1.730769231,0,0
25.94,16,0.05,-1.680769231,0,0
25.88,16,0.05,-1.734615385,0,0
25.88,16,0.05,-1.742307692,0,0
25.88,16,0.05,-1.85,0,0
25.94,16,0.05,-1.915384615,0,0
25.88,16,0.11,-2.030769231,0,0
25.88,17,0.05,-2.096153846,0,0
25.88,17,0.05,-2.211538462,0,0
25.88,17,0.05,-2.380769231,0,0
25.88,16,0.05,-2.6,0,0
25.88,17,0.05,-2.673076923,0,0
25.88,16,0.05,-2.792307692,0,0
25.88,16,0.07,-2.957692308,0,0
25.88,16,0.05,-3.169230769,0,0
25.88,16,0.05,-3.326923077,0,0
25.88,16,0.06,-3.469230769,0,0
25.88,16,0.05,-3.592307692,0,0
25.88,16,0.05,-3.696153846,0,0
25.88,16,0.05,-3.734615385,0,0
25.88,16,0.05,-3.761538462,0,0
25.88,15,0.05,-3.680769231,0,0
25.88,33,0.4,-3.634615385,1,1
25.88,34,0.36,-3.526923077,0,1
25.88,35,0.05,-3.357692308,0,1
25.88,35,0.06,-3.173076923,0,1
25.88,35,0.05,-2.973076923,0,1
25.88,35,0.11,-2.815384615,0,1
25.88,35,0.06,-2.703846154,0,1
25.88,35,0.05,-2.542307692,0,1
25.88,35,0.05,-2.288461538,0,1
25.88,34,0.69,-2.092307692,0,1
25.88,34,0.05,-1.907692308,0,1
25.88,34,0.05,-1.776923077,0,1
25.88,34,0.05,-1.65,0,1
25.88,34,0.05,-1.580769231,0,1
25.88,34,0.05,-1.426923077,0,1
25.88,34,0.63,-1.284615385,0,1
25.88,34,0.05,-1.157692308,0,1
25.88,34,0.05,-1.096153846,0,1
25.88,34,0.58,-1.053846154,0,1
25.81,33,0.49,-1.130769231,0,1
25.81,33,0.06,-1.184615385,0,1
25.81,34,0.06,-1.265384615,0,1
25.88,33,0.63,-1.276923077,0,1
25.88,33,0.25,-1.219230769,0,1
25.88,33,0.09,-1.188461538,0,1
25.81,33,0.12,-1.138461538,0,1
25.81,33,0.05,-1.073076923,0,1
25.81,32,0.08,-0.992307692,0,1
25.81,32,0.09,-0.946153846,0,1
25.81,33,0.05,-0.888461538,0,1
25.81,33,0.05,-0.861538462,0,1
25.81,33,0.12,-0.865384615,0,1
25.81,32,0.1,-0.761538462,0,1
25.88,33,0.16,-0.688461538,0,1
25.81,33,0.1,-0.546153846,0,1
25.81,33,0.15,-0.434615385,0,1
25.81,33,0.1,-0.407692308,0,1
25.81,33,0.1,-0.419230769,0,1
25.81,33,0.06,-0.419230769,0,1
25.81,33,0.05,-0.407692308,0,1
25.81,33,0.05,-0.430769231,0,1
25.81,33,0.05,-0.438461538,0,1
25.81,33,0.17,-0.434615385,0,1
25.81,33,0.18,-0.376923077,0,1
25.81,33,0.05,-0.411538462,0,1
25.81,32,0.06,-0.396153846,0,1
25.81,32,0.05,-0.334615385,0,1
25.81,32,0.05,-0.230769231,0,1
25.81,32,0.06,-0.130769231,0,1
25.81,31,0.07,-0.034615385,0,1
25.81,31,0.17,0.15,0,1
25.81,31,0.05,0.326923077,0,1
25.81,31,0.14,0.542307692,0,1
25.81,31,0.05,0.746153846,0,1
25.81,31,0.06,0.938461538,0,1
25.81,31,0.05,1.019230769,0,1
25.75,30,0.06,1.130769231,0,1
25.75,30,0.05,1.230769231,0,1
25.75,30,0.06,1.315384615,0,1
25.75,30,0.06,1.473076923,0,1
25.75,30,0.05,1.607692308,0,1
25.81,30,0.05,1.673076923,0,1
25.81,30,0.05,1.669230769,0,1
25.81,29,0.05,1.642307692,0,1
25.81,29,0.05,1.592307692,0,1
25.75,29,0.05,1.423076923,0,1
25.81,29,0.09,1.276923077,0,1
25.81,29,0.11,1.153846154,0,1
25.75,29,0.12,1.057692308,0,1
25.81,29,0.05,0.892307692,0,1
25.75,29,0.05,0.707692308,0,1
25.75,29,0.06,0.557692308,0,1
25.75,29,0.06,0.492307692,0,1
25.75,29,0.17,0.365384615,0,1
25.75,29,0.05,0.273076923,0,1
25.75,29,0.05,0.219230769,0,1
25.75,29,0.07,0.157692308,0,1
25.75,29,0.05,0.230769231,0,1
25.75,29,0.27,0.292307692,0,1
25.75,29,0.05,0.342307692,0,1
25.75,29,0.12,0.334615385,0,1
25.75,29,0.05,0.273076923,0,1
25.75,28,0.05,0.157692308,0,1
25.75,28,0.05,0.134615385,0,1
25.75,28,0.06,0.161538462,0,1
25.75,28,0.09,0.238461538,0,1
25.75,28,0.05,0.311538462,0,1
25.75,28,0.05,0.376923077,0,1
25.75,28,0.06,0.434615385,0,1
25.75,28,0.06,0.484615385,0,1
25.75,28,0.05,0.476923077,0,1
25.75,28,0.06,0.6,0,1
25.75,28,0.06,0.661538462,0,1
25.75,28,0.05,0.757692308,0,1
25.75,27,0.05,0.884615385,0,1
25.75,27,0.05,0.896153846,0,1
25.75,27,0.06,0.842307692,0,1
25.69,27,0.05,0.869230769,0,1
25.75,27,0.05,0.788461538,0,1
25.75,27,0.18,0.746153846,0,1
25.75,27,0.05,0.692307692,0,1
25.75,27,0.05,0.626923077,0,1
25.75,27,0.1,0.742307692,0,1
25.75,26,0.05,0.846153846,0,1
25.75,26,0.06,0.938461538,0,1
25.75,26,0.05,0.923076923,0,1
25.69,26,0.06,0.892307692,0,1
25.75,26,0.21,0.888461538,0,1
25.75,26,0.05,0.769230769,0,1
25.75,26,0.04,0.680769231,0,1
25.75,26,0.05,0.623076923,0,1
25.75,25,0.05,0.6,0,1
25.75,25,0.05,0.565384615,0,1
25.75,25,0.05,0.519230769,0,1
25.75,25,0.11,0.415384615,0,1
25.69,25,0.16,0.35,0,1
25.75,25,0.05,0.326923077,0,1
25.75,25,0.5,0.253846154,0,1
25.75,25,0.06,0.226923077,0,1
25.75,25,0.05,0.296153846,0,1
25.69,25,0.08,0.361538462,0,1
25.69,25,0.1,0.415384615,0,1
25.75,25,0.13,0.503846154,1,1
25.69,24,0.16,0.434615385,1,1
25.69,25,0.09,0.4,0,1
25.69,25,0.06,0.353846154,0,1
25.75,24,0.11,0.296153846,0,1
25.75,27,0.58,0.326923077,1,1
25.75,28,0.76,0.353846154,1,2
25.75,27,0.64,0.284615385,1,2
25.75,27,0.73,0.169230769,1,2
25.81,28,0.62,0.103846154,1,2
25.75,28,1.13,0.138461538,0,2
25.81,28,0.23,0.076923077,0,2
25.75,28,0.49,0.107692308,1,2
25.75,28,0.63,0.134615385,0,2
25.75,27,0.86,0.25,0,2
25.75,27,0.8,0.307692308,0,2
25.75,27,0.08,0.357692308,0,2
25.75,27,0.07,0.35,0,2
25.75,27,0.28,0.380769231,0,2
25.75,27,0.24,0.353846154,1,2
25.75,27,0.23,0.269230769,0,2
25.75,27,0.27,0.223076923,0,2
25.75,27,0.28,0.169230769,0,2
25.75,27,0.15,0.207692308,1,2
25.75,27,0.09,0.246153846,1,2
25.75,27,0.05,0.334615385,0,2
25.75,26,0.14,0.373076923,0,2
25.75,27,0.07,0.453846154,0,2
25.75,26,0.1,0.526923077,0,2
25.75,26,0.5,0.638461538,1,2
25.75,26,0.13,0.784615385,0,2
25.75,26,0.05,0.915384615,0,2
25.75,26,0.11,0.930769231,0,2
25.75,26,0.05,1.015384615,0,2
25.75,26,0.09,1.069230769,0,2
25.75,26,0.06,1.142307692,0,2
25.75,26,0.17,1.142307692,0,2
25.75,26,0.2,1.307692308,0,2
25.75,26,0.37,1.396153846,1,2
25.75,26,0.32,1.65,1,2
25.75,26,0.11,1.826923077,1,2
25.75,26,0.05,1.973076923,1,2
25.75,26,0.08,2.134615385,1,2
25.75,26,0.44,2.307692308,1,2
25.75,25,0.07,2.442307692,1,2
25.75,26,0.56,2.488461538,1,2
25.75,25,0.16,2.588461538,1,2
25.75,25,0.58,2.642307692,0,2
25.75,25,0.22,2.696153846,1,2
25.75,25,0.92,2.653846154,1,2
25.75,25,0.49,2.611538462,0,2
25.75,25,0.53,2.523076923,1,2
25.75,25,0.81,2.484615385,0,2
25.75,25,0.1,2.446153846,0,2
25.75,25,0.08,2.407692308,0,2
25.75,25,0.87,2.373076923,1,2
25.75,25,1.17,2.296153846,1,2
25.75,25,0.17,2.269230769,0,2
25.75,25,0.09,2.292307692,0,2
25.75,25,0.06,2.273076923,1,2
25.75,25,0.2,2.211538462,1,2
25.75,25,0.15,2.011538462,1,2
25.75,25,0.29,2.011538462,1,2
25.75,25,1.69,1.923076923,1,2
25.75,25,0.05,1.892307692,1,2
25.75,24,0.05,1.873076923,0,2
25.75,25,0.05,1.815384615,1,2
25.75,25,0.05,1.769230769,1,2
25.75,24,0.05,1.784615385,1,2
25.75,24,0.1,1.765384615,1,2
25.75,24,0.18,1.711538462,1,2
25.75,24,0.05,1.719230769,1,2
25.75,24,0.76,1.696153846,1,2
25.75,24,0.05,1.646153846,0,2
25.75,24,0.05,1.615384615,1,2
25.75,24,0.16,1.553846154,1,2
25.69,24,0.64,1.461538462,1,2
25.75,24,0.07,1.434615385,1,2
25.75,24,1.05,1.426923077,1,2
25.75,24,0.05,1.392307692,1,2
25.75,24,0.05,1.330769231,0,2
25.75,24,0.51,1.288461538,1,2
25.75,24,0.07,1.315384615,0,2
25.75,24,0.6,1.319230769,0,2
25.75,24,0.06,1.346153846,0,2
25.75,24,0.05,1.346153846,1,2
25.75,24,0.05,1.315384615,1,2
25.75,24,0.5,1.35,1,2
25.75,24,0.14,1.311538462,1,2
25.75,24,0.05,1.25,1,2
25.75,24,0.13,1.215384615,1,2
25.75,24,1.2,1.207692308,1,2
25.75,24,1.24,1.176923077,1,2
