S1_Temp,S2_Temp,S3_Temp,S4_Temp,S2_Light,Class
26.06,25.75,25.56,26.38,28,1
26.06,25.75,25.56,26.38,28,1
26.06,25.75,25.56,26.44,28,1
26,25.75,25.56,26.31,28,1
26.06,25.75,25.56,26.31,28,1
26.06,25.75,25.56,26.31,28,1
26.06,25.75,25.56,26.31,27,1
26.06,25.75,25.63,26.31,27,1
26.06,25.75,25.56,26.31,27,1
26.06,25.69,25.63,26.31,27,1
26.13,25.75,25.56,26.31,27,1
26.06,25.75,25.56,26.31,27,1
26.06,25.75,25.56,26.31,27,1
26.06,25.75,25.56,26.31,27,1
26.06,25.75,25.56,26.31,27,1
26.06,25.75,25.56,26.31,26,1
26.06,25.75,25.56,26.31,26,1
26.06,25.75,25.56,26.38,26,1
26.06,25.69,25.56,26.31,26,1
26.06,25.75,25.56,26.31,26,1
26.06,25.75,25.56,26.31,26,1
26.06,25.75,25.63,26.25,26,1
26.06,25.75,25.63,26.31,26,1
26.06,25.75,25.56,26.31,25,1
26.06,25.75,25.56,26.38,25,1
26.13,25.75,25.56,26.25,25,1
26.06,25.75,25.56,26.31,25,1
26.13,25.69,25.56,26.31,25,1
26.13,25.75,25.56,26.31,25,1
26.13,25.75,25.56,26.31,25,1
26.06,25.75,25.56,26.31,25,1
26.13,25.75,25.56,26.38,25,1
26.13,25.69,25.56,26.31,25,1
26.06,25.69,25.56,26.38,25,1
26.13,25.75,25.56,26.31,25,1
26.13,25.69,25.56,26.38,24,1
26.13,25.69,25.56,26.38,25,1
26.13,25.69,25.56,26.31,25,1
26.06,25.75,25.56,26.31,24,1
26.06,25.75,25.56,26.38,27,1
26.06,25.75,25.56,26.25,28,2
26.13,25.75,25.63,26.25,27,2
26.13,25.75,25.56,26.25,27,2
26.13,25.81,25.63,26.31,28,2
26.13,25.75,25.56,26.31,28,2
26.06,25.81,25.63,26.31,28,2
26.13,25.75,25.63,26.31,28,2
26.13,25.75,25.63,26.25,28,2
26.13,25.75,25.63,26.25,27,2
26.13,25.75,25.63,26.25,27,2
26.13,25.75,25.63,26.25,27,2
26.13,25.75,25.63,26.25,27,2
26.13,25.75,25.63,26.25,27,2
26.13,25.75,25.63,26.25,27,2
26.13,25.75,25.69,26.25,27,2
26.13,25.75,25.69,26.25,27,2
26.13,25.75,25.69,26.25,27,2
26.13,25.75,25.69,26.25,27,2
26.13,25.75,25.69,26.19,27,2
26.13,25.75,25.75,26.25,27,2
26.13,25.75,25.69,26.25,26,2
26.13,25.75,25.75,26.19,27,2
26.13,25.75,25.69,26.38,26,2
26.13,25.75,25.75,26.31,26,2
26.13,25.75,25.75,26.31,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.75,26.31,26,2
26.13,25.75,25.75,26.25,26,2
26.13,25.75,25.69,26.31,26,2
26.13,25.75,25.69,26.31,26,2
26.13,25.75,25.69,26.31,26,2
26.13,25.75,25.75,26.31,26,2
26.13,25.75,25.69,26.31,25,2
26.13,25.75,25.69,26.31,25,2
26.13,25.75,25.75,26.25,25,2
26.13,25.75,25.75,26.25,25,2
26.13,25.75,25.75,26.31,24,2
26.13,25.75,25.75,26.31,24,2
26.13,25.75,25.81,26.31,24,2
26.13,26.5,25.88,26.31,0,0
26.13,26.44,25.88,26.25,0,0
26.13,26.44,25.81,26.31,0,0
26.13,26.44,25.81,26.31,0,0
26.13,26.44,25.81,26.31,0,0
26.13,26.44,25.81,26.25,0,0
26.13,26.44,25.81,26.31,0,0
26.13,26.44,25.81,26.25,0,0
26.13,26.44,25.81,26.25,0,0
26.13,26.44,25.81,26.19,0,0
26.06,26.38,25.75,26.25,0,0
26.06,26.38,25.75,26.19,0,0
26.13,26.38,25.75,26.19,0,0
26.13,26.31,25.81,26.19,0,0
26.06,26.31,25.75,26.19,0,0
26.06,26.31,25.81,26.25,0,0
26.06,26.31,25.81,26.25,0,0
26.06,26.31,25.75,26.19,0,0
26.06,26.31,25.81,26.19,0,0
26.06,26.31,25.75,26.19,0,0
26.06,26.31,25.81,26.25,0,0
26.06,26.25,25.75,26.25,0,0
26,26.25,25.75,26.19,0,0
26.06,26.25,25.75,26.19,0,0
26,26.25,25.75,26.19,0,0
26,26.25,25.75,26.25,0,0
26.06,26.25,25.69,26.19,0,0
26,26.19,25.75,26.19,0,0
26,26.19,25.75,26.19,0,0
26,26.19,25.75,26.19,0,0
26,26.19,25.75,26.19,0,0
26,26.19,25.69,26.13,0,0
26,26.19,25.75,26.19,0,0
26,26.19,25.69,26.19,0,0
26,26.19,25.69,26.19,0,0
26,26.19,25.69,26.19,0,0
26,26.19,25.69,26.13,0,0
26,26.19,25.69,26.13,0,0
26,26.19,25.69,26.13,0,0
26,26.19,25.69,26.13,0,0
26,26.13,25.69,26.06,0,0
25.94,26.13,25.69,26.06,0,0
26,26.13,25.63,26.13,0,0
25.94,26.13,25.63,26.13,0,0
25.94,26.13,25.63,26.19,0,0
25.94,26.13,25.69,26.19,0,0
25.94,26.13,25.69,26.13,0,0
25.94,26.13,25.69,26.13,0,0
25.94,26.13,25.69,26.13,0,0
25.94,26.13,25.63,26.13,0,0
25.94,26.13,25.63,26.13,0,0
25.94,26.06,25.63,26.13,0,0
25.94,26.06,25.63,26.06,0,0
25.94,26.06,25.63,26.06,0,0
25.94,26.06,25.63,26.13,0,0
25.94,26.06,25.63,26.06,0,0
25.94,26.06,25.63,26.06,0,0
25.94,26.06,25.63,26.06,0,0
25.94,26.06,25.63,26.06,0,0
25.94,26.06,25.56,26.06,0,0
25.88,26.06,25.63,26.06,0,0
25.88,26.06,25.56,26.06,0,0
25.94,26,25.56,26.13,0,0
25.94,26.06,25.56,26.06,0,0
25.94,26,25.56,26,0,0
25.88,26,25.56,26.06,0,0
25.88,26,25.56,26.06,0,0
25.88,26,25.56,26.06,0,0
25.88,26,25.56,26.06,0,0
25.88,26,25.56,26.06,0,0
25.88,26,25.56,26.06,0,0
25.88,26.06,25.56,26.13,0,0
25.88,26,25.63,26.19,0,0
25.88,26,25.56,26.13,0,0
25.88,26,25.56,26.13,0,0
25.88,26,25.56,26.13,0,0
25.88,26,25.5,26.13,0,0
25.88,25.94,25.56,26.06,0,0
25.88,26,25.56,26.06,0,0
25.88,25.94,25.56,26.13,0,0
25.88,25.94,25.56,26.06,0,0
25.88,26,25.56,26.13,0,0
25.88,25.94,25.56,26.06,0,0
25.88,25.94,25.56,26.06,0,0
25.81,26,25.56,26.06,0,0
25.81,25.94,25.5,26.06,0,0
25.88,25.94,25.56,26.06,0,0
25.81,25.94,25.56,26.06,0,0
25.88,25.94,25.5,26.13,0,0
25.81,25.94,25.56,26.06,0,0
25.88,25.94,25.5,26.13,0,0
25.81,25.94,25.5,26.13,0,0
25.81,25.94,25.5,26.06,0,0
25.81,25.94,25.5,26.06,0,0
25.81,25.94,25.5,26.06,0,0
25.81,25.94,25.5,26.06,0,0
25.88,25.94,25.5,26.06,0,0
25.88,25.94,25.5,26.06,0,0
25.81,25.88,25.5,26,0,0
25.81,25.88,25.5,26,0,0
25.81,25.88,25.5,26,0,0
25.81,25.94,25.5,26,0,0
25.81,25.88,25.5,26.06,0,0
25.81,25.88,25.44,26.06,0,0
25.81,25.88,25.5,26.06,0,0
25.81,25.88,25.44,26,0,0
25.81,25.88,25.5,26.06,0,0
25.81,25.88,25.44,26.06,0,0
25.81,25.88,25.44,26,0,0
25.81,25.88,25.44,26.06,0,0
25.81,25.88,25.5,26,0,0
25.75,25.88,25.5,26,0,0
25.81,25.88,25.5,26.06,0,0
25.75,25.88,25.44,26,0,0
25.81,25.88,25.44,26,0,0
25.75,25.88,25.44,26.06,0,0
25.81,25.88,25.44,26.06,0,0
25.75,25.88,25.44,26.06,0,0
25.75,25.88,25.44,26.06,0,0
25.81,25.88,25.44,26.06,0,0
25.81,25.88,25.44,26,0,0
25.81,25.81,25.44,26.06,0,0
25.81,25.88,25.44,26,0,0
25.75,25.81,25.44,26,0,0
25.81,25.88,25.44,25.94,0,0
25.75,25.81,25.44,26,0,0
25.75,25.88,25.44,25.94,0,0
25.75,25.81,25.44,26,0,0
25.75,25.81,25.44,26,0,0
25.75,25.81,25.38,26,0,0
25.75,25.81,25.44,25.94,0,0
25.75,25.81,25.44,25.94,0,0
25.75,25.81,25.44,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.44,26,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.88,0,0
25.75,25.75,25.38,25.94,0,0
25.75,25.81,25.38,26,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.69,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.75,25.81,25.38,25.94,0,0
25.69,25.81,25.38,26,0,0
25.75,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.81,25.38,25.94,0,0
25.75,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.75,25.75,25.38,25.94,0,0
25.75,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.31,25.94,0,0
25.69,25.75,25.31,25.94,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.38,25.88,0,0
25.69,25.75,25.31,25.94,0,0
25.69,25.75,25.31,25.94,0,0
25.69,25.75,25.31,25.94,0,0
25.69,25.75,25.38,25.94,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.94,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.94,0,0
25.63,25.69,25.31,25.94,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.63,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.94,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.88,0,0
25.63,25.69,25.31,25.81,0,0
25.69,25.69,25.25,25.88,0,0
25.63,25.69,25.31,25.88,0,0
25.63,25.69,25.25,25.88,0,0
25.63,25.69,25.25,25.88,0,0
25.69,25.69,25.25,25.88,0,0
25.63,25.69,25.31,25.88,0,0
25.63,25.69,25.31,25.88,0,0
25.69,25.69,25.31,25.81,0,0
25.69,25.63,25.25,25.88,0,0
25.69,25.69,25.25,25.88,0,0
25.63,25.69,25.25,25.88,0,0
25.63,25.63,25.25,25.94,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.69,25.25,25.88,0,0
25.63,25.69,25.25,25.88,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.69,25.25,25.94,0,0
25.63,25.69,25.25,25.88,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.69,25.25,25.88,0,0
25.63,25.69,25.25,25.88,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.69,25.25,25.81,0,0
25.63,25.63,25.25,25.94,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.94,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.19,25.81,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.19,25.81,0,0
25.56,25.63,25.25,25.88,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.19,25.88,0,0
25.63,25.63,25.19,25.81,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.19,25.81,0,0
25.63,25.63,25.25,25.81,0,0
25.63,25.63,25.19,25.81,0,0
25.63,25.63,25.25,25.88,0,0
25.56,25.63,25.19,25.88,0,0
25.56,25.63,25.25,25.88,0,0
25.56,25.63,25.19,25.81,0,0
25.56,25.63,25.25,25.81,0,0
25.63,25.56,25.19,25.94,0,0
25.56,25.63,25.19,25.88,0,0
25.63,25.63,25.19,25.81,0,0
25.63,25.63,25.19,25.88,0,0
25.63,25.63,25.25,25.88,0,0
25.56,25.63,25.25,25.94,0,0
25.56,25.63,25.19,25.94,0,0
25.56,25.56,25.19,25.88,0,0
25.56,25.63,25.19,25.94,0,0
25.56,25.63,25.19,25.88,0,0
25.56,25.63,25.19,25.94,0,0
25.63,25.63,25.19,25.88,0,0
25.56,25.63,25.19,25.94,0,0
25.56,25.63,25.19,25.94,0,0
25.56,25.63,25.19,25.88,0,0
25.56,25.56,25.19,25.88,0,0
25.56,25.63,25.19,25.88,0,0
25.56,25.56,25.19,25.88,0,0
25.63,25.63,25.19,25.81,0,0
25.56,25.63,25.19,25.81,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.19,25.88,0,0
25.56,25.56,25.19,25.88,0,0
25.56,25.56,25.19,25.88,0,0
25.56,25.63,25.19,25.88,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.63,25.19,25.88,0,0
25.56,25.56,25.19,25.88,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.13,25.88,0,0
25.56,25.56,25.19,25.88,0,0
25.56,25.56,25.13,25.88,0,0
25.56,25.56,25.13,25.88,0,0
25.56,25.56,25.19,25.81,0,0
25.56,25.56,25.13,25.88,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.88,0,0
25.56,25.56,25.19,25.94,0,0
25.56,25.56,25.13,25.81,0,0
25.5,25.56,25.13,25.88,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.88,0,0
25.56,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.88,0,0
25.56,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.88,0,0
25.56,25.56,25.13,25.81,0,0
25.5,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.56,25.13,25.81,0,0
25.56,25.5,25.13,25.81,0,0
25.5,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.88,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.13,25.94,0,0
25.56,25.56,25.13,25.88,0,0
25.5,25.56,25.13,25.81,0,0
25.56,25.5,25.13,25.81,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.56,25.13,25.94,0,0
25.5,25.56,25.13,25.94,0,0
25.56,25.5,25.13,25.88,0,0
25.5,25.56,25.06,25.88,0,0
25.5,25.56,25.13,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.94,0,0
25.5,25.56,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.13,25.94,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.13,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.06,25.94,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.13,25.88,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.44,25.5,25.13,25.81,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.44,25.5,25.06,25.88,0,0
25.44,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.88,0,0
25.5,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.88,0,0
25.44,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.5,25.44,25.06,25.81,0,0
25.44,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.75,0,0
25.44,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.75,0,0
25.44,25.5,25.06,25.75,0,0
25.44,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.81,0,0
25.5,25.5,25.06,25.81,0,0
25.44,25.5,25.06,25.75,0,0
25.44,25.5,25,25.81,0,0
25.44,25.5,25,25.81,0,0
25.44,25.44,25,25.75,0,0
25.44,25.5,25,25.75,0,0
25.44,25.44,25,25.75,0,0
25.44,25.44,25.06,25.75,0,0
25.44,25.5,25,25.81,0,0
25.44,25.44,25,25.75,0,0
25.44,25.44,25,25.75,0,0
25.44,25.44,25.06,25.75,0,0
25.44,25.44,25,25.75,0,0
25.44,25.44,25,25.69,0,0
25.44,25.44,25,25.69,0,0
25.5,25.5,25,25.75,0,0
25.44,25.44,25,25.69,0,0
